年度,空氣污染物（公噸）,溫室氣體（公噸）,水污染物（公噸）,一般廢棄物（公噸）,事業廢棄物（公噸）,DPO總量(公噸)
109,1249484,283032795,53914.09,413662,490413.5793,285240269
108,1274640.95,283032795,47446.68569,425959.47,486557.3397,285267399
107,1339390.46,283032795,13487.38033,433618.35,882361.712,285701653
106,1406798,285000334,11149.58067,571809,686400.0351,287676491
105,1416599,279897112,10593,560154,646547.6045,282531006
104,1437209,276028010,6127,444859,668031.2535,278584236
103,1710757,276513186,17279,567121,949783.4261,279758126
102,1952886,274007053,14924,735051,835731.7875,277545646
101,1953794,272978907,2027,632921,690889.1547,276258538
100,1973903,276518864,2458,739470,844293.1641,280078988
99,1982771,270399321,1352,859775,747693.5214,273990913
98,1928734,252774606,1344,792363,1204143,256701190
97,2030899,266885771,1031,949902,1289261,271156864
