年度,一般廢棄物,事業廢棄物,農業資材,紙類,營建剩餘土石方,煉鋼爐石,合計總量,直接物質投入,循環利用率(%)
109,6663097,16938318,4703077,1823736,59730000,1030009,90888237,324963919,21.86
108,6278249,16667858,4632916,1867184,53490000,1113669,84049876,325407871,20.53
107,6131772,16796321,4837425,1787749.2,43950947,1084981,74589195.2,336597382,18.14
106,5400145,15638092,4530583,1520891.3,37575000,1143051,65807762.3,336168949,16.37
105,4939732,14687364,4347578,1956129.6,33870000,1589294,61390097.6,334241690,15.52
104,4860250,15810837,4360663,2015723.2,41775000,1970234,70792707.2,341816269,17.16
103,4812641,15208068,4606767,2090699.6,47160000,1844895,75723070.6,352005878,17.7
102,4427977,14912871,4328853,1995010.5,46365000,1526067,73555778.5,344138726,17.61
101,4610254,14510850,4552954,2013082.3,45285000,1625973,72598113.3,341534551,17.53
100,4485657,15436469,4565507,1993032.5,47670000,1434595,75585260.5,346154876,17.92
99,4432005,14577765,4326696,1967288.6,37246918.17,1575146,64125818.77,359086208,15.15
98,4060466,13701287,4478509,1947100.3,30134187.3,1136815,55458364.6,319313221,14.8
97,3634229,12868758,4304896,1876188.6,16049680.8,1597935,40331687.4,344182394,10.49
