年度,生物質（公噸）,金屬（公噸）,非金屬（公噸）,化石燃料（公噸）,DMI總量（公噸）
109,32530359.55,39333650,108382739.3,144717169.7,324963919
108,33015188.46,41166235.01,95961864.3,155264582.8,325407871
107,33487779.06,42698788,99011734.43,161399081,336597382
106,33183453.08,41187976,100024815.9,161772703.9,336168949
105,32248634,41723293,102439535,157830228,334241690
104,34464494,41213779,112837480,153300516,341816269
103,35057667,42673143,120025278,154249790,352005878
102,29715588,40476709,118992379,154954050,344138726
101,30402524,37140192,123738644,150253191,341534551
100,30739898,40167802,128536128,146711048,346154876
99,31978366,39726074,135820242,151561526,359086208
98,29699330,27734492,124447190,137432209,319313221
97,29781524,36964745,130816818,146619307,344182394
